Date,Time,Rud,Ele,Thr,Ail,P1,P2,SL2,SA,SD,SE,SF,SG,SH,SW1,SW2,SW3,SW4,SW5,SW6,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2026-08-17,35:55.9,-154,-291,-455,-224,0,-1024,952,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,1391,1358,1278,1425,2012,988,988,988,988,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.3
2026-08-17,35:56.0,-281,-318,33,-267,0,-1024,952,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,1370,1345,1516,1363,2012,988,988,988,988,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.3
2026-08-17,35:56.1,-242,-229,42,-325,0,-1024,952,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,1342,1388,1520,1382,2012,988,988,988,988,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.3
2026-08-17,35:56.2,-231,-173,20,-302,0,-1024,952,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,1353,1416,1510,1387,2012,988,988,988,988,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.3
2026-08-17,35:56.3,-228,-144,117,-222,0,-1024,952,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,1392,1430,1557,1389,2012,988,988,988,988,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.3
2026-08-17,35:56.4,-242,-97,457,-73,0,-1024,952,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,1465,1453,1723,1382,2012,988,988,988,988,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.3
2026-08-17,35:56.5,-237,-106,475,-54,0,-1024,952,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,1474,1448,1732,1384,2012,988,988,988,988,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.3
2026-08-17,35:56.6,-129,-126,83,-90,0,-1024,952,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,1457,1439,1540,1437,2012,988,988,988,988,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.3
2026-08-17,35:56.7,-176,-141,-154,-168,0,-1024,952,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,1419,1431,1425,1414,2012,988,988,988,988,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.3
2026-08-17,35:56.8,-1,-140,-183,-219,0,-1024,952,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000000,1394,1432,1411,1500,2012,988,988,988,988,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.3
